"WORD","TYPE_NR"
"Bernatonis","1"
"Berzinis","1"
"Betliejus","1"
"Bhaktivedanta","1"
"Bharati","1"
"Biadžoti","1"
"Bialystokas","1"
"Biliūnas","1"
"Binkis","1"
"Biolot","1"
"Birka","1"
"Birmingamas","1"
"Birutė","1"
"Birštonas","1"
"Biržai","1"
"Biržiška","1"
"Bismarkas","1"
"Bitė","1"
"Bizantija","1"
"Bičiūnas","1"
"Bičkauskas","1"
"Bišopas","1"
"Bjornsonas","1"
"Blateris","1"
"Blavatsky","1"
"Bleikas","1"
"Blekė","1"
"Bliūdžius","1"
"Bliūdžiuvienė","1"
"Bliūdžiškiai","1"
"Blondinas","1"
"Bloškys","1"
"Bobas","1"
"Bobelis","1"
"Bobis","1"
"Bogušis","1"
"Bona","1"
"Boria","1"
"Borisas","1"
"Bornhiojė","1"
"Bornholmas","1"
"Borusija","1"
"Boruta","1"
"Bosmanas","1"
"Bosnija","1"
"Bostonas","1"
"Botas","1"
"Botnija","1"
"Boucheris","1"
"Bourne","1"
"Bouvis","1"
"Bower","1"
"Brahma","1"
"Brahman","1"
"Brahman'as","1"
"Brahmanas","1"
"Brandas","1"
"Brandesas","1"
"Brasta","1"
"Braudelis","1"
"Braunas","1"
"Brazauskas","1"
"Brazilija","1"
"Braziūnas","1"
"Brazys","1"
"Bremenas","1"
"Brestas","1"
"Bretanija","1"
"Brianskas","1"
"Briedienė","1"
"Briedis","1"
"Briliūtė","1"
"Brinkiškis","1"
"Britanija","1"
"Briuselis","1"
"Brizgys","1"
"Broddway","1"
"Brodkey","1"
"Brody","1"
"Bronicai","1"
"Bronislava","1"
"Bronislovas","1"
"Broniukas","1"
"Bronius","1"
"Bronė","1"
"Bruksas","1"
"Brunas","1"
"Brunonas","1"
"Brunsvikas","1"
"Brutas","1"
"Bružas","1"
"Brynas","1"
"Brėmenas","1"
"Bublys","1"
"Bubnys","1"
"Buda","1"
"Buddha","1"
"Budnikas","1"
"Budrevičius","1"
"Budrys","1"
"Buinevičius","1"
"Buivydas","1"
"Buivydžiai","1"
"Bukartienė","1"
"Bulavas","1"
"Bulgarija","1"
"Bulota","1"
"Bulotaitė","1"
"Bulovas","1"
"Bumblauskas","1"
"Bunikienė","1"
"Burckhardt","1"
"Buridanas","1"
"Burtniekas","1"
"Bushas","1"
"Butkus","1"
"Butrimas","1"
"Butrosas","1"
"Butvilienė","1"
"Bučas","1"
"Bučienė","1"
"Bušas","1"
"Bychovcas","1"
"Byra","1"
"Bytautas","1"
"Bėmė","1"
"Būdvytis","1"
"Būga","1"
"Būtėnas","1"
"Bžezinai","1"
"Camus","1"
"Capranica","1"
"Carandiru","1"
"Caritas","1"
"Carl","1"
"Cecilija","1"
"Cezarinas","1"
"Cezarini","1"
"Chaitanya","1"
"Charles","1"
"Chlevinskis","1"
"Chodzka","1"
"Christams'as","1"
"Christina","1"
"Chruščiovas","1"
"Chuangas","1"
"Chulijas","1"
"Chulijo","1"
"Cimzė","1"
"Citovičius","1"
"Civinskas","1"
"Coca","1"
"Cola","1"
"Collingwoodas","1"
"Colonna","1"
"Commerz","1"
"Commonwealth'as","1"
"Compservis","1"
"Cosmopolitan","1"
"Crowley","1"
"Cummings","1"
"Cvirka","1"
"Cyrkė","1"
"CŽV","2"
"Dabulskis","1"
"Dagys","1"
"Daina","1"
"Dainava","1"
"Dainius","1"
"Dainys","1"
"Daiva","1"
"Daivutė","1"
"Daktaras","1"
"Dalai","1"
"Dalia","1"
"Dalinkevičius","1"
"Damalakas","1"
"Dambrauskas","1"
"Dana","1"
"Danas","1"
"Danguolė","1"
"Daniel","1"
"Danielis","1"
"Danielius","1"
"Danija","1"
"Danilevičiūtė","1"
"Dantė","1"
"Danutė","1"
"Dapkus","1"
"Darelas","1"
"Dargienė","1"
"Darius","1"
"Dastinas","1"
"Daugeliškiai","1"
"Daugirdas","1"
"Daugpilis","1"
"Dauguva","1"
"Daujotienė","1"
"Daujotytė","1"
"Dauka","1"
"Daukantas","1"
"Daumantai","1"
"Daumantas","1"
"Daumantienė","1"
"Daumantiškiai","1"
"Daunys","1"
"Dausprungas","1"
"Davainis","1"
"David","1"
"Dašava","1"
"Degimas","1"
"Deglavas","1"
"Deglius","1"
"Dei","1"
"Dei-liuisas","1"
"Deilas","1"
"Deividas","1"
"Deksnys","1"
"Delfi","1"
"Deltuva","1"
"Demetrijus","1"
"Denver'is","1"
"Derrida","1"
"Derry","1"
"Detmoldas","1"
"Detroitas","1"
"Deutsch","1"
"Deučas","1"
"Dev","1"
"Dev'as","1"
"Devi","1"
"Dharma","1"
"Diana","1"
"Diane","1"
